ENTRY,GY,PH,SD
(CML444/CML536)//CKDHL1706815,6.537527327,233.6710528,71.19537774
(CML444/CML536)//CKDHL1706862,7.210060525,243.2016235,72.18760926
(CML444/CML536)//CKDHL1706884,7.138510042,246.4550108,73.19814334
(CML444/CML536)//CKDHL1706887,7.529247687,249.2727641,74.54416955
(CML444/CML536)//CKDHL1706909,6.383873159,252.3692659,70.77033498
(CML444/CML536)//CKDHL1706939,6.892419562,242.9350117,72.73080148
(CML444/CML536)//CKDHL1715255,6.485745683,242.0494524,73.07204705
(CML444/CML536)//CKDHL1715260,6.545726698,247.321325,75.81216548
(CML444/CML536)//CKDHL1715316,6.298562295,245.5017639,75.03569289
(CML444/CML536)//CKDHL1715381,7.212740962,239.1945801,73.63075903
(CML444/CML536)//CKDHL1715408,6.62136175,237.2711323,75.08935637
(CML444/CML536)//CKDHL1715411,6.762205212,240.3252117,77.03400495
(CML444/CML536)//CKDHL1715442,6.606545185,245.9258466,75.93002234
(CML444/CML536)//CKDHL1715475,7.525599932,245.1669412,74.01138707
(CML444/CML536)//CKDHL1715480,6.605546827,240.0639239,72.29290148
(CML444/CML536)//CKDHL1715486,7.35504939,245.544948,74.34599174
(CML444/CML536)//CKDHL1715490,6.61218178,245.5763484,76.60408465
(CML444/CML536)//CKDHL1715496,6.262454756,241.9068953,75.63587526
(CML444/CML536)//CKDHL1715497,7.853670521,247.2422613,76.96325736
(CML444/CML536)//CKDHL1715500,7.166718192,243.7575682,75.56384553
(CML444/CML536)//CKDHL1715506,6.624868137,246.8631075,75.17943839
(CML444/CML536)//CKDHL1715529,6.693515259,232.5783287,74.10917625
(CML444/CML536)//CKDHL1715564,6.305163081,244.0694275,77.33010894
(CML444/CML536)//CKDHL1715607,7.460789146,242.7766309,75.74103873
(CML444/CML536)//CKDHL1715617,5.928322408,235.5704319,73.59482198
(CML444/CML536)//CKDHL1715634,7.575874944,249.2396806,74.11831284
(CML444/CML536)//CKDHL1715637,6.752819179,243.0964127,74.15339215
(CML444/CML536)//CKDHL1715648,7.017374943,256.7642192,75.11108816
(CML444/CML536)//CKDHL1715658,7.504271286,257.8088466,76.38389647
(CML444/CML536)//CKDHL1715659,6.143699063,240.9380114,74.88167456
(CML444/CML536)//CKDHL1715661,6.816606626,242.7933654,73.60525572
(CML444/CML536)//CKDHL1715668,7.212761639,254.4458828,75.66599112
(CML444/CML536)//CKDHL1715671,6.909321724,240.8546569,73.72755213
(CML444/CML536)//CKDHL1715674,7.343713113,249.434407,77.07026866
(CML444/CML536)//CKDHL1715677,7.40182376,252.1488226,73.8565791
(CML444/CML536)//CKDHL1715678,6.723676472,248.4304032,77.71879796
(CML444/CML536)//CKDHL1715679,7.630899592,242.6291377,76.81780294
(CML444/CML536)//CKDHL1715680,6.679290225,240.0655999,72.43839403
(CML444/CML536)//CKDHL1715686,6.896082278,247.1558537,73.29684893
(CML444/CML536)//CKDHL1715690,7.757554637,248.8513296,75.81554127
(CML444/CML536)//CKDHL1715694,7.265268641,244.850956,73.3037661
(CML444/CML536)//CKDHL1715698,6.847802513,234.5655374,74.31802011
(CML444/CML536)//CKDHL1715699,6.705907582,252.078857,74.91838999
(CML444/CML536)//CKDHL1715700,6.415030877,242.0252692,75.95157463
(CML444/CML536)//CKDHL1715702,7.448467006,246.0995064,72.47458547
(CML444/CML536)//CKDHL1715708,6.84404391,246.2291964,73.25564964
(CML444/CML536)//CKDHL1715711,6.983089068,242.4154471,75.20436333
(CML444/CML536)//CKDHL1715713,6.703920906,237.7720014,72.86004801
(CML444/CML536)//CKDHL1715714,6.76814537,244.7621663,74.71601336
(CML444/CML536)//CKDHL1715716,7.103231497,238.8678567,74.22425882
(CML444/CML536)//CKDHL1715717,6.427416298,234.5902944,71.16780621
(CML444/CML536)//CKDHL1715718,7.182531125,244.4216999,74.65356907
(CML444/CML536)//CKDHL1715724,6.701293809,251.5117988,73.95269647
(CML444/CML536)//CKDHL1715726,6.78068261,250.9406441,74.30220088
(CML444/CML536)//CKDHL1715729,6.902874506,244.6538033,74.6424577
(CML444/CML536)//CKDHL1715731,7.743981803,247.7827949,74.45529736
(CML444/CML536)//CKDHL1715735,7.06178481,240.6204117,75.40757605
(CML444/CML536)//CKDHL1715738,7.340975742,253.8731153,74.167286
(CML444/CML536)//CKDHL1715741,7.381363611,248.8820712,74.5608799
(CML444/CML536)//CKDHL1715744,7.095761829,251.922578,75.46366608
(CML444/CML536)//CKDHL1715745,7.313512147,246.171802,72.92571483
