REP,block,ENTRY,T1,T2,T3,T4
1,1,1,165.8352,41.5268,34.4409,23.7676
2,1,1,166.8813,35.9359,38.0552,22.48
3,1,1,174.5154,42.455,35.8819,23.1448
4,1,1,150.6235,38.5967,30.2551,23.0601
1,1,2,150.7461,53.7737,35.0019,20.1477
2,1,2,143.9847,47.4559,39.1131,17.9132
3,1,2,133.0459,47.2444,29.8312,20.5984
4,1,2,149.7691,54.6184,34.6662,19.5861
1,1,3,142.1326,50.8256,37.4618,20.0013
2,1,3,167.8302,48.0724,42.2965,20.1575
3,1,3,166.7533,46.4652,34.223,18.353
4,1,3,153.2202,46.7876,37.6035,17.6251
1,1,4,166.9536,47.2296,31.9817,24.1929
2,1,4,185.8111,50.142,32.4032,25.7319
3,1,4,171.1859,48.373,31.4216,25.4736
4,1,4,145.253,46.1739,26.1405,23.5909
1,1,5,152.4967,49.6705,31.3214,25.0141
2,1,5,170.6508,50.0143,33.0381,25.7407
3,1,5,167.077,46.9501,31.4194,25.0787
4,1,5,166.2273,52.934,32.3491,25.4439
1,1,6,179.5407,39.5706,29.5517,20.6529
2,1,6,157.4111,45.3734,29.7634,17.997
3,1,6,166.9063,43.8441,33.0772,20.1919
4,1,6,161.1896,32.9583,27.3378,23.3474
1,1,7,152.5788,54.2718,30.0375,19.3395
2,1,7,157.965,54.304,30.7469,18.5761
3,1,7,147.9536,50.0126,29.0855,19.1645
4,1,7,159.8734,50.2858,31.3507,18.3589
1,1,8,154.8235,37.7201,29.5861,21.4071
2,1,8,173.4931,42.479,35.1062,22.7809
3,1,8,150.7799,43.1375,27.1182,20.3702
4,1,8,160.911,48.3079,33.1173,19.2447
1,1,9,155.0756,42.5305,35.3189,17.4421
2,1,9,155.8861,48.9855,35.1106,19.2347
3,1,9,159.3328,44.3794,35.6211,19.0844
4,1,9,163.7352,49.365,32.0473,17.6942
1,1,10,161.504,43.849,37.3255,20.8636
2,1,10,166.5039,41.1287,37.0832,22.0383
3,1,10,173.5979,50.2784,34.2503,18.4269
4,1,10,152.9012,46.4445,34.2563,16.9452
1,1,11,140.6271,42.5848,36.4823,17.9144
2,1,11,180.7798,46.3216,30.2923,19.833
3,1,11,136.3752,48.0837,34.2299,18.4743
4,1,11,166.8441,50.0286,41.2957,18.4983
1,1,12,168.0173,46.9266,39.2436,23.078
2,1,12,181.8288,30.383,30.2755,19.4607
3,1,12,172.5646,44.9091,33.9942,19.0522
4,1,12,163.1015,42.4649,36.9976,21.9277
1,1,13,147.714,57.2239,31.8897,18.898
2,1,13,148.2707,54.8761,36.6649,19.1109
3,1,13,156.0482,50.5379,34.3759,17.9599
4,1,13,160.6483,54.0796,41.9973,17.208
1,1,14,142.9153,48.7155,28.3857,19.6226
