REP,Block,ENTRY,GY,EHT,PHT
1,1,30,1.9,79.5,171.8
1,1,63,2.6,88.7,169
1,1,71,2.2,86,178.2
1,1,87,2.4,81.8,172.7
1,1,106,1.2,74,166.2
1,1,118,1.7,82.8,162.8
1,1,136,2,89.2,185.3
1,1,142,0.7,78.8,167.2
1,1,143,3.3,80.2,171.8
1,1,224,1.4,81.3,170.3
1,2,3,2.4,88,170.7
1,2,13,1.7,76.3,167.7
1,2,34,3.7,87.2,181
1,2,68,1.9,80.3,160.2
1,2,77,2.3,80.5,160.2
1,2,120,1.7,68.5,162.8
1,2,141,2.1,76.7,165.8
1,2,157,1.5,82.7,170.3
1,2,159,1.7,85.3,174.5
1,2,164,1.9,65.5,144.2
1,3,17,2.4,76.5,172.2
1,3,39,2.4,84.5,176.2
1,3,58,1.4,80.8,168.7
1,3,94,2.4,85.8,175.5
1,3,100,3.6,78.7,179
1,3,127,1.9,91.5,180.2
1,3,129,2.2,88.8,175.7
1,3,174,1.4,73.5,164.2
1,3,192,2.9,81.5,175.8
1,3,220,3.1,79.5,158.7
1,4,18,3.7,100,180.3
1,4,19,1.7,80.5,167.5
1,4,41,1.4,81,166.3
1,4,57,2.7,89.5,174
1,4,96,1.9,88.2,168.5
1,4,123,1.7,102.3,184.7
1,4,158,1.7,82.2,168
1,4,160,1.8,81.3,184.8
1,4,218,1.9,98,167.3
1,4,243,2.4,84.2,173.5
1,5,24,2.9,94.7,199
1,5,37,2.9,84.3,182.3
1,5,64,3.6,79.2,167.2
1,5,116,2.8,95,188.3
1,5,169,3.5,94,177.3
1,5,187,3.2,77.8,166.8
1,5,204,3.4,84.3,180.3
1,5,213,2.9,81.3,151.7
1,5,226,2.7,98.3,188.5
1,5,230,4.1,85.8,174
1,6,12,1.4,94.7,189
1,6,26,1,84.7,152.7
1,6,98,3.3,98.2,185.8
1,6,144,2.4,91.8,171.5
1,6,173,2.2,89.7,184
1,6,209,2.4,88.8,177.2
1,6,212,1.7,86.7,177.5
1,6,215,1.9,94,184.3
1,6,233,2.9,96.5,189.2
1,6,245,1.9,98.2,181.8
1,7,9,3.4,83.3,169.7
1,7,10,4.6,94.2,186.8
1,7,35,1.9,80.8,182.7
1,7,84,2.9,98.2,200.5
1,7,125,3.1,88,175.8
1,7,163,2.2,76.8,163.8
1,7,168,1.7,84,171.7
1,7,176,2.2,97.5,183.8
1,7,185,2.2,77,177.2
1,7,246,1,95,181.3
1,8,7,3.6,96.3,179
1,8,47,2.4,88.2,187
1,8,62,2.9,108,208.5
1,8,76,3.1,98.5,185.3
1,8,99,2.9,96.3,195.3
1,8,155,1.2,96.2,188.7
1,8,219,1.7,96.7,186.7
1,8,221,3.9,88.8,186.3
1,8,248,3.1,112.5,203.8
1,9,49,3.6,88.7,184.2
1,9,70,2.9,84.3,157.5
1,9,108,2.6,80.2,174.8
1,9,139,4,93.5,172
1,9,182,1.2,85.2,180.2
1,9,186,2.9,69.2,161
1,9,198,2.1,81.8,167.2
1,9,208,2.9,84.5,178.3
1,9,227,4.3,88.5,172.3
1,9,244,2,81.5,164.3
1,10,33,2.1,77,170
1,10,59,2,83.5,172.2
1,10,95,2.2,97,181.3
1,10,103,3.1,96.5,184.5
1,10,117,2,64.5,146.3
1,10,126,2.4,79.8,169.2
1,10,151,2.6,98.7,187.8
1,10,197,2.2,82.5,174.8
1,10,203,2.6,80,150.5
1,10,239,2.5,82.5,179.2
1,11,27,3,98.3,190
1,11,67,3.8,89.5,172.5
1,11,92,1.7,92.8,177.5
1,11,111,1.7,87.2,173
1,11,113,3.5,96.7,196.2
1,11,133,1.9,68.2,152
1,11,146,2.6,95.5,170.5
1,11,195,2.6,92.7,180.3
1,11,234,3.8,99.5,184.7
1,11,241,3,87,176.7
1,12,40,3.1,86.8,175
1,12,72,2.8,98.7,190
1,12,73,3.4,96.5,195.8
1,12,110,2.9,94.5,198.8
1,12,140,3.1,86.3,168.5
1,12,180,2.9,95.3,194.7
1,12,210,1.9,92.5,180
1,12,229,3.5,87.3,183.2
1,12,237,3.2,72.2,159
1,12,240,5.3,109.5,191
1,13,28,4.2,88.2,192.7
1,13,31,4.9,76.7,173.8
1,13,32,2.2,70,159.2
1,13,46,3.1,80,168.7
1,13,78,1.9,93.5,189.7
1,13,89,3.3,85.5,180.8
1,13,145,2.9,82,172.3
1,13,193,2.9,80.7,174.8
1,13,206,3.4,69.8,152.8
1,13,235,1.9,90.7,182
1,14,1,2.9,103.2,194
1,14,51,1.9,100.5,177.7
1,14,101,2.9,80.7,178.5
1,14,131,2.9,91.8,189.2
1,14,134,3.2,94.7,197
1,14,148,2.6,84,166.2
1,14,162,3.5,99.8,196.5
1,14,181,2.1,83,169.3
1,14,184,2.9,82.8,168.2
1,14,202,2.1,92.8,203.3
1,15,5,2.2,76,160.2
1,15,75,2.4,101.7,196.5
1,15,82,4.3,103.3,193.5
1,15,85,2.2,90.3,178.7
1,15,109,2.4,90,178.2
1,15,130,2.6,80.7,171
